state,area,1980,1982,1984,1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2024
Johor,19210,1646200,1734600,1825800,1926500,2031000,2139600,2249100,2378100,2503900,2631700,2762500,2893600,3014600,3134400,3252300,3362900,3450400,3559800,3651800,3749400,4009700,4028300,4186300
Kedah,9500,1119900,1161800,1206100,1256200,1305400,1352200,1402100,1466600,1533200,1601200,1671900,1734800,1792400,1847500,1900200,1949300,2001100,2062700,2119700,2163000,2131400,2163100,2217500
Kelantan,15099,895700,947100,1002600,1062800,1124000,1187200,1243500,1273700,1301100,1328900,1361400,1416700,1463800,1507600,1549800,1589900,1651000,1723400,1796700,1860500,1792500,1830600,1888500
Melaka,1664,466900,478700,491200,505600,520500,534200,551800,574900,597300,620500,646600,684100,719800,755000,790500,823600,843200,871700,901100,922400,998400,1008600,1047100
Negeri Sembilan,6686,576700,598900,623800,653700,683500,713400,741700,772400,802600,833500,866100,900300,933700,967000,999600,1029500,1057700,1079600,1099300,1122900,1200000,1207900,1240100
Pahang,36137,802100,842300,888700,943500,998400,1054300,1104200,1152300,1200600,1248800,1295800,1338700,1380200,1421200,1461600,1501900,1547100,1591700,1626700,1664700,1591300,1614300,1668200
Perak,21035,1807400,1866800,1912300,1950800,1979500,1992900,2007100,2028400,2047000,2066200,2091700,2161800,2222100,2279300,2331600,2379000,2427000,2458800,2482100,2503500,2496000,2514400,2569600
Perlis,821,148700,154900,161700,170200,178800,187000,192700,196700,200400,203800,207600,213200,218800,224400,230100,235800,239400,245100,251000,253500,284900,289800,296800
Penang,1048,960700,990900,1021100,1054800,1086600,1118500,1154000,1195900,1237500,1282700,1332700,1387300,1436600,1484100,1531300,1575900,1623200,1678100,1717700,1762800,1740400,1740900,1800400
Sabah,73631,1055100,1186500,1325700,1474400,1629500,1787600,1896600,2068900,2245000,2423500,2603500,2719100,2833400,2962900,3105100,3260000,3432700,3669900,3802800,3898400,3418800,3414900,3742200
Sarawak,124450,1351100,1410400,1471400,1539500,1614600,1687800,1758400,1831900,1904500,1982100,2071500,2158300,2240400,2324900,2408400,2487100,2569700,2664000,2738700,2791700,2453700,2473500,2518100
Selangor,8104,1524100,1668300,1822000,1992600,2166900,2345400,2605600,2978500,3371100,3777500,4188900,4446300,4712800,4986200,5268500,5502100,5702400,6051300,6291500,6475000,6994400,7050300,7363400
Terengganu,13035,541700,581400,625800,678300,730900,784600,823800,848600,870700,889600,902600,936600,966600,995900,1025200,1055400,1094100,1140400,1183400,1228300,1149400,1186600,1232100
Kuala Lumpur,243,982900,1028500,1072200,1120500,1169600,1217800,1281500,1314400,1342500,1373000,1416000,1474100,1526400,1577500,1628900,1674800,1702100,1737400,1789700,1790000,1982100,1961200,2067500
Labuan,91,NA,NA,NA,NA,NA,NA,55400,60300,65100,70500,76100,77800,79700,82000,84600,88200,90500,93800,96800,99000,95100,96900,100800
Putrajaya,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73400,78300,80900,84400,97200,109200,117000,120300
